brand,price,car_seller,year,miles,engine_vol,transmission,fuel_type,residuals
Audi,19149.0,Cazoo,2019.0,41032.0,1.0,automatic,petrol,2707.5839865846137
Audi,19199.0,Cazoo,2019.0,7200.0,1.0,manual,petrol,
Audi,19449.0,Cazoo,2019.0,6592.0,1.0,manual,petrol,2007.240159567962
Audi,19498.0,C&C,2020.0,17524.0,1.0,manual,petrol,402.7341808368292
Audi,19499.0,Cazoo,2019.0,29675.0,1.5,manual,petrol,
Audi,20600.0,BMWorld,2020.0,22277.0,1.0,manual,petrol,
Audi,20700.0,BMWorld,2019.0,34000.0,1.5,automatic,petrol,-1360.1740043819373
Audi,20949.0,Cazoo,2021.0,18920.0,1.0,manual,petrol,318.3620403559944
Audi,20949.0,Cazoo,2019.0,20876.0,1.5,automatic,petrol,-2028.8187548336064
Audi,20998.0,C&C,2019.0,17301.0,1.0,automatic,petrol,2062.358861767272
Audi,20999.0,Cazoo,2019.0,40350.0,1.5,automatic,petrol,-314.8210392067631
Audi,21199.0,Cazoo,2019.0,24205.0,1.0,automatic,petrol,3319.7648656615565
Audi,21499.0,Cannock,2019.0,11422.0,1.0,manual,petrol,3466.6777323396454
Audi,21499.0,Castle_Donington,2019.0,22662.0,1.0,automatic,petrol,2704.3855557158167
Audi,21849.0,Cazoo,2019.0,32565.0,1.5,automatic,petrol,-130.02706858743477
Audi,21949.0,Cazoo,2021.0,19680.0,1.0,automatic,petrol,-559.154000262537
Audi,21998.0,C&C,2021.0,13262.0,1.0,manual,petrol,
Audi,22349.0,Cazoo,2021.0,13001.0,1.0,manual,petrol,1212.6003848772561
Audi,20749.0,Cazoo,2019.0,15632.0,2.0,automatic,petrol,-7491.0336593700995
Audi,22149.0,Cazoo,2019.0,17892.0,2.0,automatic,petrol,-5897.923110057083
Audi,22499.0,Castle_Donington,2019.0,31134.0,2.0,automatic,petrol,-5199.966370627699
Audi,22999.0,Fords_of_Winsford,2019.0,11930.0,2.0,automatic,petrol,
Audi,23550.0,Marshall,2019.0,19592.0,2.0,automatic,petrol,-4998.583707642225
Audi,25249.0,Cazoo,2019.0,3481.0,2.0,automatic,petrol,-4029.3019269355063
Audi,25700.0,Hilton,2020.0,10421.0,2.0,automatic,petrol,-5963.125414757167
Audi,11490.0,Hilton,2014.0,32000.0,1.4,manual,petrol,
Audi,11999.0,Cazoo,2015.0,49846.0,1.4,manual,petrol,2886.4080054734386
Audi,23498.0,C&C,2019.0,19920.0,1.5,automatic,petrol,-27.985136023205996
Audi,9100.0,BMWorld,2017.0,76008.0,1.6,manual,diesel,-2204.7172761029524
Audi,10300.0,BMWorld,2015.0,44656.0,1.0,manual,petrol,4391.477787257407
Audi,10700.0,BMWorld,2016.0,23971.0,1.6,manual,diesel,-2929.995131817108
Audi,10849.0,Cazoo,2016.0,50102.0,1.0,manual,petrol,3488.451266922595
Audi,11999.0,Cazoo,2017.0,39323.0,1.0,manual,petrol,
Audi,11999.0,Cazoo,2016.0,28774.0,1.0,manual,petrol,2816.034543142261
Audi,12000.0,BMWorld,2018.0,36085.0,1.6,manual,diesel,-4837.1589402125865
Audi,12199.0,Cazoo,2015.0,12758.0,1.6,manual,diesel,-64.21512102498491
Audi,12199.0,Cazoo,2018.0,37646.0,1.0,manual,petrol,-468.1489116565972
Audi,15449.0,Cazoo,2019.0,31369.0,1.0,manual,petrol,124.36408891487372
Audi,15498.0,Cargiant,2019.0,46613.0,1.0,manual,petrol,1118.2215091758917
Audi,15600.0,BMWorld,2019.0,30679.0,1.0,manual,petrol,12.641968478965282
Audi,15700.0,BMWorld,2019.0,21715.0,1.0,manual,petrol,-653.306245698077
Audi,15949.0,Cazoo,2019.0,26926.0,1.0,manual,petrol,244.72242050855857
Audi,16000.0,Hilton,2019.0,26000.0,1.0,manual,petrol,-640.0930497110312
Audi,16249.0,Cazoo,2019.0,27297.0,1.0,manual,petrol,
Audi,16400.0,Hilton,2019.0,19338.0,1.0,manual,petrol,
Audi,16649.0,Cazoo,2019.0,20789.0,1.0,manual,petrol,420.333287264737
Audi,16899.0,Cazoo,2019.0,17541.0,1.0,manual,petrol,392.80095798667026
Audi,17999.0,Cazoo,2019.0,27341.0,1.0,automatic,petrol,387.72711461927247
Audi,9100.0,BMWorld,2015.0,60306.0,1.0,manual,petrol,4528.725617675345
Audi,10100.0,BMWorld,2016.0,62092.0,1.6,manual,diesel,-272.66449006872426
Audi,10200.0,BMWorld,2018.0,80027.0,1.6,manual,diesel,-2882.4404632651895
Audi,10298.0,C&C,2016.0,52618.0,1.0,manual,petrol,2685.9573756508325
Audi,10499.0,Cannock,2015.0,42521.0,1.4,manual,petrol,
Audi,10600.0,BMWorld,2015.0,39614.0,1.4,manual,petrol,
Audi,10698.0,Cargiant,2016.0,53422.0,1.0,manual,petrol,3263.4369216948544
Audi,10699.0,Fords_of_Winsford,2016.0,53200.0,1.0,manual,petrol,3052.2244055881893
Audi,10750.0,Marshall,2015.0,42865.0,1.0,manual,petrol,4245.284793880071
Audi,10799.0,Cazoo,2017.0,57479.0,1.4,manual,petrol,
Audi,10800.0,BMWorld,2016.0,39049.0,1.4,manual,petrol,-1560.0636824755202
Audi,10850.0,BMWorld,2017.0,50459.0,1.4,manual,petrol,-2656.2470156681684
Audi,10998.0,C&C,2016.0,34828.0,1.0,manual,petrol,
Audi,11000.0,BMWorld,2015.0,48424.0,1.4,manual,petrol,1562.1385743750743
Audi,11000.0,Cargiant,2016.0,44704.0,1.6,manual,diesel,-1012.3547388393636
Audi,11099.0,Cazoo,2015.0,45777.0,1.4,manual,petrol,1638.723569564756
Audi,11100.0,BMWorld,2016.0,50183.0,1.4,manual,petrol,
Audi,11198.0,Cargiant,2016.0,41957.0,1.0,manual,petrol,2783.785396088453
Audi,11199.0,Cazoo,2017.0,56265.0,1.4,manual,petrol,-1607.3772977610079
Audi,11249.0,Cazoo,2016.0,46074.0,1.0,manual,petrol,
Audi,11250.0,Marshall,2017.0,51712.0,1.4,manual,petrol,-2592.338897493757
Audi,11298.0,C&C,2017.0,44099.0,1.6,manual,diesel,-2995.9655686720234
Audi,11299.0,Cazoo,2017.0,37750.0,1.0,manual,petrol,761.8728572827804
Audi,11499.0,Castle_Donington,2015.0,47926.0,1.4,automatic,petrol,-503.640749767188
Audi,11599.0,Cazoo,2016.0,34910.0,1.4,manual,petrol,
Audi,11600.0,BMWorld,2016.0,31210.0,1.6,manual,diesel,-1411.4432439957018
